"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code","Counterpart Sector Name","Counterpart Sector Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country ISO 3 Code","AIA",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country Name","Anguilla",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country SDMX Code","AI",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country SDMX Name","Anguilla",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country Short Name","Anguilla",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country Code","311",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country Full Name","Antigua and Barbuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country ISO 2 Code","AG",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country ISO 3 Code","ATG",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country Name","Antigua and Barbuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country SDMX Code","AG",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country SDMX Name","Antigua and Barbuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Antigua and Barbuda","311","","","","","","","","","Country Short Name","Antigua and Barbuda",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country Code","213",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country Full Name","Argentina",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country ISO 2 Code","AR",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country ISO 3 Code","ARG",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country Name","Argentina",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country SDMX Code","AR",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country SDMX Name","Argentina",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Argentina","213","","","","","","","","","Country Short Name","Argentina",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country Code","911",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country Full Name","Armenia, Republic of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country ISO 2 Code","AM",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country ISO 3 Code","ARM",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country Name","Armenia, Rep. of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country SDMX Code","AM",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country SDMX Name","Armenia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Armenia, Rep. of","911","","","","","","","","","Country Short Name","Armenia",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country Code","314",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country Full Name","Aruba, Kingdom of the Netherlands",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country ISO 2 Code","AW",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country ISO 3 Code","ABW",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country Name","Aruba, Kingdom of the Netherlands",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country SDMX Code","AW",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country SDMX Name","Aruba",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Aruba, Kingdom of the Netherlands","314","","","","","","","","","Country Short Name","Aruba",""
